Name,Disc. Date,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray
AT2020azk,1/22/20,02:47.9,-05:02:30.22,0.087,Ib,4,1,,
SN2020ajd,1/19/20,45:13.0,-20:45:49.75,0.0746,Ic,1,1,,
SN2020abf,1/16/20,18:06.0,-15:48:44.85,0.016064,Ic,6,1,,
SN2020zg,1/15/20,02:36.4,-16:11:54.40,0.0557,Ic BL,4,,,
AT2020ach,1/14/20,12:02.8,+15:11:55.51,0.155,Ic BL,2,,,
AT2020pv,1/8/20,27:52.0,+33:34:09.82,0.028748,Ib,5,,,
SN2020pm,1/8/20,28:14.8,+19:14:27.41,0.054,Ic,5,1,,
SN2020oi,1/7/20,"12:22:54.925,12:22:54.96","+15:49:25.05,+15:49:24.96",0.00524,Ic,53,1,,
SN2020oc,1/7/20,48:02.9,+03:32:17.73,0.062,Ic,6,1,,
SN2020nf,1/5/20,"17:23:57.389,17:23:57.36","+30:49:16.17,+30:49:16.32",0.0482,Ic,12,1,,
SN2020dr,1/4/20,45:18.9,-17:42:19.15,0.025191,Ic,3,1,,
SN2019yvq,12/28/19,"12:27:21.690,12:27:21.84","+64:47:59.70,+64:47:59.64",0.00908,Ib/c,17,1,,
SN2019yvs,12/28/19,24:27.0,+13:13:58.19,0.025478,Ib/c,3,1,,
SN2019yxp,12/27/19,"14:16:32.130,14:16:32.16","+57:48:28.80,+57:48:28.8",0.010417,Ib,11,1,,
SN2019yfv,12/27/19,14:14.1,-01:12:02.93,0.04,Ib,7,1,,
SN2019yvr,12/27/19,45:08.1,-00:27:32.66,0.005101,Ib,6,1,,
SN2019yuf,12/24/19,33:35.7,+10:58:51.13,0.1,Ic,5,1,,
SN2019xbm,12/19/19,07:14.0,+58:08:03.38,0.027713,IIb,5,1,,
SN2019xct,12/19/19,38:50.1,-08:19:04.32,0.029,IIb,4,1,,
SN2019xcc,12/19/19,01:12.4,+16:43:29.11,0.028677,Ic BL,2,1,,
SN2019wzj,12/18/19,"02:43:59.550,02:43:59.496","+32:31:41.70,+32:31:41.88",0.02,Ia,18,1,,
SN2019wrx,12/15/19,38:26.6,-01:07:57.71,0.03706,IIb,4,1,,
SN2019wqq,12/11/19,35:04.8,+46:33:38.14,0.011232,IIb,3,1,,
SN2019wpb,12/10/19,34:25.3,+50:41:19.53,0.067,Ic,4,1,,
AT2019wix,12/10/19,59:35.1,+13:54:54.03,0.051083,Ib,2,,,
SN2019wnp,12/8/19,41:16.6,+20:22:10.91,0.044,Ic,4,1,,
SN2019wfy,12/8/19,23:00.5,+26:37:23.14,0.0265,Ib/c,3,1,,
SN2019wnr,12/6/19,58:21.3,+55:55:42.64,0.075,Ic,2,1,,
SN2019vup,11/29/19,35:33.8,+43:22:16.85,0.07988,Ic,3,1,,
SN2019vsi,11/28/19,"13:45:54.969,13:45:54.96","+23:03:42.95,+23:03:43.2",0.028,Ib,10,1,,
SN2019uqu,11/12/19,"13:04:17.752,13:04:17.76","+57:17:27.51,+57:17:27.6",0.198,Ibn,6,,,
SN2019uff,11/2/19,"00:19:13.280,00:19:13.277","-14:23:52.25,-14:23:52.08",0.026612,Ib,20,1,,
SN2019uda,11/1/19,"13:12:37.109,13:12:37.2","+46:48:55.66,+46:48:55.8",0.027603,Ib/c,7,,,
SN2019twa,11/1/19,52:06.4,+24:20:18.97,0.05,Ibn,3,,,
SN2019tvk,10/31/19,35:37.0,-11:28:30.98,0.0796,Ic BL,4,1,,
SN2019tqb,10/29/19,"16:21:53.900,16:21:54","+38:55:47.24,+38:55:47.28",0.017068,Ic,51,1,,
SN2019tsf,10/29/19,"11:08:32.801,11:08:32.88","-10:28:54.44,-10:28:54.48",0.027299,Ib,25,1,,
SN2019tzx,10/29/19,"12:02:14.085,12:02:13.92","+75:48:40.48,+75:48:40.68",0.0435,IIb,7,1,,
SN2019tpi,10/29/19,25:42.8,+34:39:29.66,0.03,Ic,3,,,
SN2019trw,10/28/19,18:37.7,-02:42:32.68,0.2,Ic,1,1,,
SN2019tls,10/26/19,"08:02:49.921,08:02:49.92","+15:48:05.43,+15:48:05.4",0.016198,Ib,36,1,,
SN2019teb,10/23/19,21:06.8,-36:07:21.24,0.032,Ib,1,1,,
SN2019svd,10/19/19,"16:16:31.331,16:16:31.44","+35:42:17.87,+35:42:18",0.028116,Ib/c,7,,,
SN2019tdb,10/19/19,42:51.8,-06:08:50.88,0.02,Ic,4,1,,
SN2019sna,10/14/19,"23:18:56.526,23:18:56.4","-10:10:35.01,-10:10:35.04",0.031162,IIb,12,1,,
SN2019swj,10/14/19,16:52.5,+05:36:59.56,0.049,Ib,4,1,,
SN2019smb,10/13/19,"09:04:41.029,09:04:41.04","+42:03:14.48,+42:03:14.04",0.028156,Ic,8,1,,
SN2019sjx,10/10/19,30:15.0,+39:53:32.44,0.02998,Ib,3,1,,
SN2019rwq,10/5/19,"02:18:57.689,02:18:57.696","-66:23:30.18,-66:23:30.12",0.0255,Ic,1,1,,
AT2019rta,10/3/19,28:49.3,+75:19:41.06,0.027,IIb,2,,,
SN2019rsq,10/1/19,14:37.7,-07:00:44.77,0.031,Ic BL,4,1,,
SN2019rlw,9/30/19,"07:12:19.927,07:12:19.92","+66:12:12.76,+66:12:12.6",0.027,Ib,17,1,,
SN2019qvt,9/21/19,"03:09:01.539,03:09:01.536","+24:02:37.95,+24:02:38.04",0.0535,Ib,22,1,,
SN2019qfi,9/17/19,51:07.9,+12:25:38.60,0.0285,Ic BL,7,1,,
SN2019qwo,9/13/19,"03:05:36.392,03:05:36.384","-21:49:34.54,-21:49:34.68",0.045,Ib,9,1,,
SN2019qar,9/12/19,35:46.0,-63:54:16.03,0.010344,Ib Pec,1,1,,
SN2019pxu,9/10/19,10:12.6,-00:46:38.91,0.0282,Ib-Ca-rich,3,,,
SN2019pof,9/7/19,12:37.9,+33:02:05.73,0.0155,IIb,5,1,,
SN2019pqo,9/7/19,41:30.3,+15:47:03.30,0.013649,IIb,3,1,,
AT2019pqh,9/7/19,26:28.3,-01:07:53.38,0.133994,II/IIb,2,,,
SN2019pfb,9/1/19,39:47.3,+59:22:04.79,0.03683,Ib,5,1,,
SN2019pgo,9/1/19,53:00.0,+25:07:18.10,0.05,Ic BL,5,1,,
AT2019oyw,8/29/19,58:10.5,-08:57:27.20,0.079023,Ic BL,2,,,
SN2019oys,8/28/19,"07:07:59.257,07:07:59.28","+31:39:55.32,+31:39:55.44","0.016501,0.015981",Ib,32,1,,
SN2019oub,8/27/19,36:11.5,+51:37:01.41,0.04,Ic,3,1,,
SN2019oqp,8/25/19,38:33.2,+45:37:52.18,0.030821,Ic BL,6,1,,
SN2019ouq,8/25/19,01:41.9,+30:06:34.34,0.03586,Ic,2,,,
SN2019pik,8/24/19,20:33.0,-73:23:03.60,0.1184,Ic,21,1,,
